City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,pyhajarvi,67.0701,27.2176,4.55,80,100,1.45,FI,1696265979
255,marquette,46.5333,-87.6335,27.87,49,70,3.13,US,1696265980
256,newport,51.5877,-2.9984,18.03,90,100,2.16,GB,1696265976
257,katsuren-haebaru,26.3369,127.8719,28.21,94,100,6.69,JP,1696265980
258,dunyapur,29.7995,71.7196,27.03,22,0,1.56,PK,1696265980
259,zemio,5.0314,25.1361,22.8,94,99,1.52,CF,1696265981
260,machico,32.7,-16.7667,28.17,67,20,6.69,PT,1696265416
261,gobabis,-22.45,18.9667,28.94,12,4,4.67,NA,1696265399
262,onguday,50.75,86.15,4.32,86,3,1.2,RU,1696265982
263,verkhnevilyuysk,63.4453,120.3167,-0.58,76,100,1.83,RU,1696265982
264,vanimo,-2.6741,141.3028,25.75,87,94,2.3,PG,1696265982
265,utashinai,43.5167,142.05,10.6,87,91,4.44,JP,1696265982
266,al kharijah,25.4514,30.5464,29.63,27,61,7.09,EG,1696265430
267,howrah,22.5892,88.3103,27.0,89,75,2.57,IN,1696265349
268,susuman,62.7833,148.1667,-1.68,82,11,1.34,RU,1696265416
269,chalisgaon,20.4667,75.0167,25.37,78,27,3.02,IN,1696265984
270,mutuali,-14.8706,37.0044,28.56,35,10,5.4,MZ,1696265984
271,kas,36.2018,29.6377,22.99,68,18,2.13,TR,1696265984
272,akureyri,65.6835,-18.0878,4.96,81,100,5.66,IS,1696265985
273,tevriz,57.509,72.4042,9.98,71,53,3.84,RU,1696265985
274,margate,51.3813,1.3862,20.73,89,96,1.34,GB,1696265985
275,torghay,49.6339,63.4981,13.95,49,8,3.84,KZ,1696265986
276,bandar-e lengeh,26.5579,54.8807,32.06,62,0,3.09,IR,1696265986
277,rumbek,6.802,29.6912,26.14,72,74,1.29,SS,1696265986
278,san matias,-16.3667,-58.4,39.76,24,31,3.19,BO,1696265987
279,doba,8.65,16.85,27.51,72,98,1.41,TD,1696265987
280,pitimbu,-7.4706,-34.8086,30.33,62,74,5.04,BR,1696265987
281,cabo san lucas,22.8909,-109.9124,33.12,66,5,3.53,MX,1696265263
282,arno,60.1167,18.6333,13.77,91,100,3.38,SE,1696265988
283,bredasdorp,-34.5322,20.0403,15.94,64,0,2.17,ZA,1696265120
284,puerto deseado,-47.7503,-65.8938,10.14,58,0,6.65,AR,1696265410
285,ntui,4.45,11.6333,23.41,94,79,2.0,CM,1696265989
286,atherton,53.5237,-2.4935,13.75,92,100,0.89,GB,1696265989
287,pangai,-19.8,-174.35,21.64,71,100,10.69,TO,1696265424
288,uturoa,-16.7333,-151.4333,26.1,79,13,6.4,PF,1696265990
289,fengkou,30.0833,113.2667,18.35,89,100,3.5,CN,1696265990
290,wabag,-5.4781,143.7021,13.72,99,100,0.22,PG,1696265990
291,taroa,8.7058,171.2275,28.17,79,98,6.15,MH,1696265991
292,pangody,65.85,74.4859,9.35,93,100,7.89,RU,1696265991
293,chongwe,-15.3292,28.682,27.32,36,0,4.9,ZM,1696265991
294,springbok,-29.6643,17.8865,22.76,26,0,2.33,ZA,1696265992
295,alamosa,37.4695,-105.87,13.99,72,75,5.66,US,1696265712
296,lexington,37.9887,-84.4777,28.32,41,0,4.12,US,1696265909
297,sao jose da coroa grande,-8.8978,-35.1478,27.13,62,4,4.32,BR,1696265386
298,jaggayyapeta,16.9,80.1,25.97,89,100,0.39,IN,1696265993
299,quellon,-43.1167,-73.6167,9.38,67,23,2.4,CL,1696265410
300,tivat,42.4364,18.6961,25.96,62,0,0.51,ME,1696265994
301,cockburn town,21.4612,-71.1419,30.98,58,20,5.14,TC,1696265413
302,inyonga,-6.7167,32.0667,26.85,18,43,1.71,TZ,1696265994
